timestamp,tollID,tagRef,tagHomeID,charge
2022-07-13 14:58,EG12,EGRHOCN9J,EG,0.5
2022-07-13 15:00,NO03,NOE1V2ISQ,NO,3.25
2022-07-13 15:02,NO05,NAOURTP0LZ,NAO,3.25
2022-07-13 15:54,NO06,NOX6GVWRD,NO,3.25
2022-07-13 16:37,OO06,OO1B0Z3NX,OO,3.5
2022-07-13 16:58,NAO25,NAO5ZJA8DZ,NAO,2.5
2022-07-13 17:24,EG31,EGYTJXEPQ,EG,1.4
2022-07-13 18:24,NO04,NOQLL8OS9,NO,3.25
2022-07-13 18:26,AM07,AMLJH75LX,AM,2.8
2022-07-13 20:23,NAO06,NAOLY8OZCY,NAO,2.5
2022-07-13 20:43,OO10,OO1B0Z3NX,OO,2.5
2022-07-13 20:48,OO07,OO7PZE9VI,OO,1.9
2022-07-13 21:00,EG28,EGSEIMVIH,EG,1.4
2022-07-13 21:01,AM06,AMLJH75LX,AM,3.6
2022-07-13 21:25,NAO39,NAOURTP0LZ,NAO,2.5
2022-07-13 21:37,EG37,EGVWPVS7H,EG,1.4
2022-07-13 21:48,EG21,AMXAJI0Y6,AM,1.6
2022-07-13 22:03,AM10,AMHJ7XVG0,AM,3.1
2022-07-13 22:38,MO05,MOJCKJLTE,MO,2.6
2022-07-13 23:04,NAO05,NAO5ZJA8DZ,NAO,2.5
2022-07-13 23:20,OO07,NAOLY8OZCY,NAO,1.9
2022-07-13 23:32,NAO04,NAO5UQPGB7,NAO,2.5
2022-07-13 23:49,EG09,EGIGQPKI7,EG,0.9
2022-07-13 23:52,OO07,NAONSM43D8,NAO,1.9
2022-07-14 00:17,EG26,EGYTJXEPQ,EG,1.8
2022-07-14 00:26,KO10,KOJDP0LVS,KO,2.05
2022-07-14 00:45,NAO20,NAO5UQPGB7,NAO,2.5
2022-07-14 01:08,OO03,OOZSJ49IT,OO,2.4
2022-07-14 01:52,EG29,EGUT0CVS4,EG,1.5
2022-07-14 01:52,NAO14,NAO5ZJA8DZ,NAO,2.5
2022-07-14 01:57,NAO41,NAO09SKDGI,NAO,2.5
2022-07-14 02:11,NAO20,NAO5UQPGB7,NAO,2.5
2022-07-14 02:33,EG36,EGF1T2TAL,EG,1.0
2022-07-14 02:45,NAO33,NAOP0J43D5,NAO,2.5
2022-07-14 03:28,NO12,NOXFGCAQV,NO,3.35
2022-07-14 03:35,OO06,NO7PTX63C,NO,3.5
2022-07-14 03:48,EG27,EGYTJXEPQ,EG,1.4
2022-07-14 04:33,KO07,KOJDP0LVS,KO,1.85
2022-07-14 04:35,AM01,AMLJH75LX,AM,2.0
2022-07-14 04:37,NAO23,NAOHL1N13J,NAO,2.5
2022-07-14 04:59,OO10,OOQ0OXFQ8,OO,2.5
2022-07-14 05:35,KO09,KOWM31YIH,KO,2.05
2022-07-14 06:24,NAO30,NAOP0J43D5,NAO,2.5
2022-07-14 06:34,NO09,NAOBMYOFQE,NAO,4.2
2022-07-14 06:45,AM03,AMLJH75LX,AM,2.2
2022-07-14 07:32,KO08,KOWM31YIH,KO,1.85
2022-07-14 07:41,EG06,OOQ0OXFQ8,OO,1.7
2022-07-14 07:45,EG19,EG9CHJ755,EG,1.4
2022-07-14 07:47,OO04,OOZSJ49IT,OO,2.4
2022-07-14 07:47,NO05,EGVWPVS7H,EG,3.25
2022-07-14 08:31,NAO26,EGSEIMVIH,EG,2.5
2022-07-14 08:48,NAO03,NAOLY8OZCY,NAO,2.5
2022-07-14 11:05,OO08,OOQ0OXFQ8,OO,1.9
2022-07-14 11:05,KO01,NOXFGCAQV,NO,3.4
2022-07-14 11:06,OO08,EGIGQPKI7,EG,1.9
2022-07-14 12:02,NAO01,NAONSM43D8,NAO,2.5
2022-07-14 12:11,EG09,EGSEIMVIH,EG,0.9
2022-07-14 12:21,KO10,NO7PTX63C,NO,2.05
2022-07-14 12:28,KO02,AMHJ7XVG0,AM,3.4
2022-07-14 12:34,NAO36,EGVWPVS7H,EG,2.5
2022-07-14 12:48,NAO10,NAOHAFEYUH,NAO,2.5
2022-07-14 13:08,EG29,EGSEIMVIH,EG,1.5
2022-07-14 13:42,NAO04,NAOP0J43D5,NAO,2.5
2022-07-14 14:33,NO14,EG9CHJ755,EG,4.15
2022-07-14 14:41,NAO23,EG9CHJ755,EG,2.5
2022-07-14 14:52,NAO06,NAOLY8OZCY,NAO,2.5
2022-07-14 16:31,OO04,NAOVZ41NAM,NAO,2.4
2022-07-14 16:35,MO10,MOV86WZS3,MO,2.7
2022-07-14 16:55,AM04,NAOHL1N13J,NAO,2.2
2022-07-14 17:36,AM05,AMV3A3ZMF,AM,3.6
2022-07-14 18:11,NAO01,NAOLY8OZCY,NAO,2.5
2022-07-14 18:14,OO03,OO1B0Z3NX,OO,2.4
2022-07-14 18:22,EG10,EGIGQPKI7,EG,0.9
2022-07-14 18:22,AM04,AMV3A3ZMF,AM,2.2
2022-07-14 18:29,KO10,KONCXLL4Z,KO,2.05
2022-07-14 18:35,EG10,EGVWPVS7H,EG,0.9
2022-07-14 18:54,AM01,AMH9SDBDW,AM,2.0
2022-07-14 19:18,MO08,MOV86WZS3,MO,3.15
2022-07-14 19:18,EG26,EG7UR23GD,EG,1.8
2022-07-14 19:24,EG16,EGIGQPKI7,EG,1.2
2022-07-14 20:43,NO01,NOXFGCAQV,NO,3.85
2022-07-14 21:10,NO03,NOXFGCAQV,NO,3.25
2022-07-14 21:15,EG16,EGYTJXEPQ,EG,1.2
2022-07-14 21:16,NAO35,NAO09SKDGI,NAO,2.5
2022-07-14 21:25,MO05,MOJCKJLTE,MO,2.6
2022-07-14 22:05,AM06,EGVWPVS7H,EG,3.6
2022-07-14 22:51,AM05,AMV3A3ZMF,AM,3.6
2022-07-14 23:15,NAO21,NAOHL1N13J,NAO,2.5
2022-07-14 23:24,KO02,EGYTJXEPQ,EG,3.4
2022-07-14 23:48,NO14,NOX6GVWRD,NO,4.15
2022-07-14 23:57,EG06,NO7PTX63C,NO,1.7
2022-07-15 00:01,EG38,GEL6246HI,GE,1.4
2022-07-15 00:19,NAO29,OO3KKV9RF,OO,2.5
2022-07-15 00:23,EG28,NAOBMYOFQE,NAO,1.4
2022-07-15 00:32,EG19,EGYTJXEPQ,EG,1.4
2022-07-15 00:33,NO11,NOXFGCAQV,NO,3.35
2022-07-15 00:36,NAO37,NAOBMYOFQE,NAO,2.5
2022-07-15 00:43,OO05,OO3KKV9RF,OO,3.5
2022-07-15 01:09,MO10,MOJCKJLTE,MO,2.7
2022-07-15 01:13,NO06,NO7PTX63C,NO,3.25
2022-07-15 01:19,AM02,AMHJ7XVG0,AM,2.0
2022-07-15 01:37,NO04,NOX6GVWRD,NO,3.25
2022-07-15 01:59,AM08,AMNT3W5UZ,AM,2.8
2022-07-15 02:18,MO08,MOV86WZS3,MO,3.15
2022-07-15 02:34,EG34,EGVWPVS7H,EG,2.0
2022-07-15 02:40,KO04,KONCXLL4Z,KO,2.95
2022-07-15 03:36,EG28,EGIGQPKI7,EG,1.4
2022-07-15 03:56,NO01,NOX6GVWRD,NO,3.85
2022-07-15 04:18,EG29,EGSEIMVIH,EG,1.5
2022-07-15 04:29,NO13,NAO5ZJA8DZ,NAO,4.15
2022-07-15 04:35,KO09,KONCXLL4Z,KO,2.05
2022-07-15 04:39,MO03,MOJCKJLTE,MO,2.1
2022-07-15 05:45,AM03,EGSEIMVIH,EG,2.2
2022-07-15 05:55,OO02,OOQ0OXFQ8,OO,2.3
2022-07-15 06:28,NO09,NORCBPLJD,NO,4.2
2022-07-15 06:51,EG32,EGC11ERTJ,EG,1.4
2022-07-15 07:23,NAO34,MOV86WZS3,MO,2.5
2022-07-15 08:09,AM08,AMNT3W5UZ,AM,2.8
2022-07-15 08:10,NAO36,AMLJH75LX,AM,2.5
2022-07-15 08:26,AM07,AMV3A3ZMF,AM,2.8
2022-07-15 08:38,NO04,NO7PTX63C,NO,3.25
2022-07-15 09:10,NAO05,EGUT0CVS4,EG,2.5
2022-07-15 09:14,EG23,EG7UR23GD,EG,1.4
2022-07-15 09:26,NO12,NOQLL8OS9,NO,3.35
2022-07-15 09:30,NAO01,NAOURTP0LZ,NAO,2.5
2022-07-15 09:31,EG32,NAO5ZJA8DZ,NAO,1.4
2022-07-15 10:08,EG29,EGSEIMVIH,EG,1.5
2022-07-15 11:02,NO11,NOXFGCAQV,NO,3.35
2022-07-15 11:04,NO10,NOQLL8OS9,NO,4.2
2022-07-15 11:08,KO07,KOJDP0LVS,KO,1.85
2022-07-15 12:13,EG13,EGUT0CVS4,EG,1.2
2022-07-15 12:38,KO05,KOJDP0LVS,KO,1.9
